"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2023,"SE","FT","Data Analyst","130000","USD","130000","US","100","US","M"
2023,"SE","FT","Data Analyst","100000","USD","100000","US","100","US","M"
2023,"MI","FT","Data Analyst","150000","USD","150000","US","100","US","M"
2023,"MI","FT","Data Analyst","110000","USD","110000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","230000","USD","230000","GB","100","GB","M"
2023,"SE","FT","Analytics Engineer","143200","USD","143200","GB","100","GB","M"
2023,"SE","FT","Business Intelligence Engineer","225000","USD","225000","US","0","US","M"
2023,"SE","FT","Business Intelligence Engineer","156400","USD","156400","US","0","US","M"
2023,"MI","FT","Data Analyst","105380","USD","105380","US","0","US","M"
2023,"MI","FT","Data Analyst","64500","USD","64500","US","0","US","M"
2023,"EN","FT","Data Quality Analyst","100000","USD","100000","NG","100","NG","L"
2023,"EN","FT","Compliance Data Analyst","30000","USD","30000","NG","100","NG","L"
2023,"SE","FT","Business Intelligence Engineer","185900","USD","185900","US","0","US","M"
2023,"SE","FT","Business Intelligence Engineer","129300","USD","129300","US","0","US","M"
2023,"SE","FT","Data Analyst","202800","USD","202800","US","0","US","L"
2023,"SE","FT","Data Analyst","104300","USD","104300","US","0","US","L"
2023,"SE","FT","Data Analyst","145000","USD","145000","US","0","US","M"
2023,"SE","FT","Data Analyst","65000","USD","65000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","152500","USD","152500","US","0","US","M"
2023,"SE","FT","Analytics Engineer","116450","USD","116450","US","0","US","M"
2023,"SE","FT","Analytics Engineer","289800","USD","289800","US","0","US","M"
2023,"SE","FT","Analytics Engineer","214000","USD","214000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","179820","USD","179820","US","0","US","M"
2023,"SE","FT","Analytics Engineer","143860","USD","143860","US","0","US","M"
2023,"SE","FT","Analytics Engineer","289800","USD","289800","US","0","US","M"
2023,"SE","FT","Analytics Engineer","214200","USD","214200","US","0","US","M"
2023,"MI","FT","Data Analytics Manager","155000","USD","155000","US","0","US","M"
2023,"MI","FT","Data Analytics Manager","140000","USD","140000","US","0","US","M"
2023,"EN","FT","Data Analyst","75000","USD","75000","US","0","US","M"
2023,"EN","FT","Data Analyst","70000","USD","70000","US","0","US","M"
2023,"SE","FT","Data Analyst","204500","USD","204500","US","0","US","M"
2023,"SE","FT","Data Analyst","138900","USD","138900","US","0","US","M"
2023,"SE","FT","Analytics Engineer","230000","USD","230000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","143200","USD","143200","US","0","US","M"
2023,"MI","FT","Business Data Analyst","105000","USD","105000","US","50","US","L"
2023,"MI","FT","Data Analyst","38000","GBP","46178","GB","0","GB","M"
2023,"MI","FT","Data Analyst","35000","GBP","42533","GB","0","GB","M"
2023,"SE","FT","Data Analyst","168400","USD","168400","US","0","US","M"
2023,"SE","FT","Data Analyst","105200","USD","105200","US","0","US","M"
2023,"SE","FT","Analytics Engineer","150000","USD","150000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","120000","USD","120000","US","100","US","M"
2023,"SE","FT","Data Analyst","45000","GBP","54685","CF","100","CF","M"
2023,"SE","FT","Data Analyst","35000","GBP","42533","CF","100","CF","M"
2020,"EX","FT","Staff Data Analyst","15000","USD","15000","NG","0","CA","M"
2023,"EN","FT","Data Analyst","85000","USD","85000","US","100","US","M"
2023,"EN","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"SE","FT","Data Analyst","120000","USD","120000","US","100","US","M"
2023,"SE","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"SE","FT","Data Analyst","140000","USD","140000","US","0","US","M"
2023,"SE","FT","Data Analyst","120000","USD","120000","US","0","US","M"
2023,"SE","FT","Data Quality Analyst","100000","USD","100000","US","0","US","M"
2023,"SE","FT","Data Quality Analyst","80000","USD","80000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","190000","USD","190000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","112000","USD","112000","US","100","US","M"
2023,"SE","FT","Data Analyst","135000","USD","135000","US","0","US","M"
2023,"SE","FT","Data Analyst","105500","USD","105500","US","0","US","M"
2023,"SE","FT","Data Analyst","80000","USD","80000","US","0","US","M"
2023,"SE","FT","Data Analyst","70000","USD","70000","US","0","US","M"
2023,"SE","FT","Data Analyst","200000","USD","200000","US","0","US","M"
2023,"SE","FT","Data Analyst","148500","USD","148500","US","0","US","M"
2023,"SE","FT","Analytics Engineer","152900","USD","152900","US","100","US","M"
2023,"SE","FT","Analytics Engineer","117100","USD","117100","US","100","US","M"
2023,"SE","FT","Analytics Engineer","173000","USD","173000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","113000","USD","113000","US","100","US","M"
2023,"SE","FT","Data Analyst","149500","USD","149500","US","100","US","M"
2023,"SE","FT","Data Analyst","127075","USD","127075","US","100","US","M"
2023,"EX","FT","Analytics Engineer","221000","USD","221000","US","100","US","M"
2023,"EX","FT","Analytics Engineer","153000","USD","153000","US","100","US","M"
2023,"SE","FT","Data Analyst","187000","USD","187000","US","0","US","M"
2023,"SE","FT","Data Analyst","128000","USD","128000","US","0","US","M"
2023,"SE","FT","Data Analyst","142000","USD","142000","US","100","US","M"
2023,"SE","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"SE","FT","Data Analyst","125000","USD","125000","US","100","US","M"
2023,"SE","FT","Data Analyst","112000","USD","112000","US","100","US","M"
2023,"SE","FT","Data Analyst","139000","USD","139000","US","0","US","M"
2023,"SE","FT","Data Analyst","106000","USD","106000","US","0","US","M"
2023,"EN","FT","Data Analyst","55000","CAD","40663","CA","0","CA","L"
2023,"SE","FT","Data Analyst","140000","USD","140000","US","0","US","M"
2023,"SE","FT","Data Analyst","120000","USD","120000","US","0","US","M"
2023,"SE","FT","Data Analyst","175000","USD","175000","CA","100","CA","M"
2023,"SE","FT","Data Analyst","135000","USD","135000","CA","100","CA","M"
2023,"SE","FT","Data Quality Analyst","100000","USD","100000","US","0","US","M"
2023,"SE","FT","Data Quality Analyst","80000","USD","80000","US","0","US","M"
2023,"MI","FT","Data Analyst","90000","USD","90000","US","0","US","M"
2023,"MI","FT","Data Analyst","75000","USD","75000","US","0","US","M"
2023,"SE","FT","Data Analytics Manager","160000","USD","160000","US","100","US","M"
2023,"SE","FT","Data Analytics Manager","120000","USD","120000","US","100","US","M"
2023,"SE","FT","Data Analyst","155000","USD","155000","US","0","US","M"
2023,"SE","FT","Data Analyst","106000","USD","106000","US","0","US","M"
2023,"MI","FT","Lead Data Analyst","68000","USD","68000","US","0","US","L"
2023,"SE","FT","Data Analyst","105000","USD","105000","US","100","US","M"
2023,"SE","FT","Data Analyst","90000","USD","90000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","179820","USD","179820","US","0","US","M"
2023,"SE","FT","Analytics Engineer","143860","USD","143860","US","0","US","M"
2023,"SE","FT","Data Analyst","135000","USD","135000","US","0","US","M"
2023,"SE","FT","Data Analyst","105500","USD","105500","US","0","US","M"
2023,"SE","FT","Data Analyst","80000","USD","80000","US","0","US","M"
2023,"SE","FT","Data Analyst","70000","USD","70000","US","0","US","M"
2023,"EN","FT","Data Analyst","64200","USD","64200","US","100","US","M"
2023,"EN","FT","Data Analyst","56100","USD","56100","US","100","US","M"
2023,"SE","FT","Data Analyst","208450","USD","208450","US","100","US","M"
2023,"SE","FT","Data Analyst","170550","USD","170550","US","100","US","M"
2023,"SE","FT","Data Analyst","153600","USD","153600","US","0","US","M"
2023,"SE","FT","Data Analyst","100500","USD","100500","US","0","US","M"
2023,"MI","FT","Data Analyst","182500","USD","182500","US","0","US","M"
2023,"MI","FT","Data Analyst","121500","USD","121500","US","0","US","M"
2023,"MI","FT","Data Analyst","60000","GBP","72914","GB","0","GB","M"
2023,"MI","FT","Data Analyst","45000","GBP","54685","GB","0","GB","M"
2023,"SE","FT","Data Analyst","100000","USD","100000","US","100","US","M"
2023,"SE","FT","Data Analyst","80000","USD","80000","US","100","US","M"
2023,"EN","FT","Business Data Analyst","20000","EUR","21461","ES","0","ES","M"
2023,"SE","FT","Data Analyst","175000","USD","175000","US","0","US","M"
2023,"SE","FT","Data Analyst","145000","USD","145000","US","0","US","M"
2023,"SE","FT","Data Analyst","148700","USD","148700","US","0","US","M"
2023,"SE","FT","Data Analyst","125600","USD","125600","US","0","US","M"
2023,"SE","FT","Data Analyst","185000","USD","185000","US","100","US","M"
2023,"SE","FT","Data Analyst","120250","USD","120250","US","100","US","M"
2023,"SE","FT","Data Analyst","208049","USD","208049","US","0","US","M"
2023,"SE","FT","Data Analyst","128500","USD","128500","US","0","US","M"
2023,"SE","FT","Analytics Engineer","179820","USD","179820","US","0","US","M"
2023,"SE","FT","Analytics Engineer","143860","USD","143860","US","0","US","M"
2023,"SE","FT","Data Analyst","190000","USD","190000","US","100","US","M"
2023,"SE","FT","Data Analyst","95000","USD","95000","US","100","US","M"
2023,"SE","FT","Data Analyst","153600","USD","153600","US","0","US","M"
2023,"SE","FT","Data Analyst","106800","USD","106800","US","0","US","M"
2023,"MI","FT","Data Analyst","128000","USD","128000","US","0","US","M"
2023,"MI","FT","Data Analyst","85000","USD","85000","US","0","US","M"
2023,"SE","FT","Data Analyst","135000","USD","135000","US","0","US","M"
2023,"SE","FT","Data Analyst","105500","USD","105500","US","0","US","M"
2023,"SE","FT","Data Analyst","100000","USD","100000","US","100","US","M"
2023,"SE","FT","Data Analyst","80000","USD","80000","US","100","US","M"
2023,"MI","FT","Data Analyst","154000","USD","154000","US","0","US","M"
2023,"MI","FT","Data Analyst","143000","USD","143000","US","0","US","M"
2023,"EN","FT","Data Analyst","85000","USD","85000","US","100","US","M"
2023,"EN","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"MI","FT","Data Analyst","83500","USD","83500","US","100","US","M"
2023,"MI","FT","Data Analyst","52500","USD","52500","US","100","US","M"
2023,"SE","FT","Data Analyst","165000","USD","165000","US","100","US","M"
2023,"SE","FT","Data Analyst","140000","USD","140000","US","100","US","M"
2023,"SE","FT","Data Analyst","180180","USD","180180","US","0","US","M"
2023,"SE","FT","Data Analyst","106020","USD","106020","US","0","US","M"
2023,"SE","FT","Data Analyst","153600","USD","153600","US","0","US","M"
2023,"SE","FT","Data Analyst","100500","USD","100500","US","0","US","M"
2023,"SE","FT","Data Analyst","206500","USD","206500","US","100","US","M"
2023,"SE","FT","Data Analyst","121600","USD","121600","US","100","US","M"
2023,"EN","FT","Data Analyst","95000","USD","95000","US","100","US","M"
2023,"EN","FT","Data Analyst","70000","USD","70000","US","100","US","M"
2023,"SE","FT","Data Analyst","115934","USD","115934","US","100","US","M"
2023,"SE","FT","Data Analyst","81666","USD","81666","US","100","US","M"
2023,"MI","FT","Data Analyst","206000","USD","206000","US","0","US","M"
2023,"MI","FT","Data Analyst","130000","USD","130000","US","0","US","M"
2023,"SE","FT","Data Analyst","110000","USD","110000","US","100","US","M"
2023,"SE","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","130000","USD","130000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","87000","USD","87000","US","0","US","M"
2023,"MI","FT","Data Analyst","160000","USD","160000","US","0","US","M"
2023,"MI","FT","Data Analyst","112000","USD","112000","US","0","US","M"
2023,"MI","FT","Data Analyst","100000","USD","100000","US","0","US","M"
2023,"MI","FT","Data Analyst","85000","USD","85000","US","0","US","M"
2023,"SE","FT","Data Analyst","185000","USD","185000","US","100","US","M"
2023,"SE","FT","Data Analyst","120250","USD","120250","US","100","US","M"
2023,"MI","FT","Financial Data Analyst","130000","USD","130000","US","100","US","L"
2023,"SE","FT","Data Analyst","70000","USD","70000","US","0","US","M"
2023,"SE","FT","Data Analyst","55000","USD","55000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","275300","USD","275300","US","100","US","M"
2023,"SE","FT","Analytics Engineer","183500","USD","183500","US","100","US","M"
2023,"MI","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"MI","FT","Data Analyst","65000","USD","65000","US","100","US","M"
2023,"SE","FT","Data Analyst","180180","USD","180180","US","0","US","M"
2023,"SE","FT","Data Analyst","106020","USD","106020","US","0","US","M"
2023,"MI","FT","Lead Data Analyst","1500000","INR","18238","IN","50","IN","L"
2023,"EN","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"EN","FT","Data Analyst","60000","USD","60000","US","100","US","M"
2023,"MI","FT","Analytics Engineer","185700","USD","185700","US","0","US","M"
2023,"MI","FT","Analytics Engineer","165000","USD","165000","US","0","US","M"
2023,"SE","FT","Data Analyst","169000","USD","169000","US","0","US","M"
2023,"SE","FT","Data Analyst","110600","USD","110600","US","0","US","M"
2022,"SE","FT","BI Developer","130000","USD","130000","US","100","US","L"
2023,"SE","FT","Analytics Engineer","170000","USD","170000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","130000","USD","130000","US","100","US","M"
2023,"MI","FT","Data Analytics Manager","155000","USD","155000","US","0","US","M"
2023,"MI","FT","Data Analytics Manager","140000","USD","140000","US","0","US","M"
2023,"SE","FT","Data Analyst","250000","USD","250000","US","100","US","M"
2023,"SE","FT","Data Analyst","138000","USD","138000","US","100","US","M"
2023,"MI","FT","Data Analyst","130000","USD","130000","CA","100","CA","M"
2023,"MI","FT","Data Analyst","100000","USD","100000","CA","100","CA","M"
2023,"SE","FT","BI Analyst","160000","USD","160000","US","0","US","M"
2023,"SE","FT","BI Analyst","135000","USD","135000","US","0","US","M"
2023,"SE","FT","Data Analyst","127000","USD","127000","US","100","US","M"
2023,"SE","FT","Data Analyst","94000","USD","94000","US","100","US","M"
2023,"SE","FT","Data Analyst","161500","USD","161500","US","100","US","M"
2023,"SE","FT","Data Analyst","119500","USD","119500","US","100","US","M"
2023,"SE","FT","Data Analyst","175000","USD","175000","US","0","US","M"
2023,"SE","FT","Data Analyst","145000","USD","145000","US","0","US","M"
2023,"SE","FT","Data Analytics Specialist","105000","USD","105000","US","0","US","M"
2023,"SE","FT","Data Analytics Specialist","85000","USD","85000","US","0","US","M"
2023,"SE","FT","Data Analyst","185900","USD","185900","US","0","US","M"
2023,"SE","FT","Data Analyst","121700","USD","121700","US","0","US","M"
2023,"SE","FT","Data Analyst","153600","USD","153600","US","0","US","M"
2023,"SE","FT","Data Analyst","106800","USD","106800","US","0","US","M"
2023,"EN","FT","Data Analyst","100000","USD","100000","UZ","100","US","L"
2023,"SE","FT","Data Analyst","125000","USD","125000","US","0","US","M"
2023,"SE","FT","Data Analyst","110000","USD","110000","US","0","US","M"
2023,"EN","FT","Data Analyst","150000","USD","150000","US","0","US","M"
2023,"EN","FT","Data Analyst","100000","USD","100000","US","0","US","M"
2023,"MI","FT","Data Analyst","80000","GBP","97218","GB","0","GB","M"
2023,"MI","FT","Data Analyst","40000","GBP","48609","GB","0","GB","M"
2023,"SE","FT","Data Analyst","95000","USD","95000","US","0","US","M"
2023,"SE","FT","Data Analyst","85500","USD","85500","US","0","US","M"
2023,"SE","FT","Data Analyst","185900","USD","185900","US","0","US","M"
2023,"SE","FT","Data Analyst","121700","USD","121700","US","0","US","M"
2023,"SE","FT","Data Analyst","120000","USD","120000","US","100","US","M"
2023,"SE","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"MI","FT","Data Analyst","65000","GBP","78990","GB","100","GB","M"
2023,"MI","FT","Data Analyst","36050","GBP","43809","GB","100","GB","M"
2023,"SE","FT","Data Analyst","180000","USD","180000","US","0","US","M"
2023,"SE","FT","Data Analyst","110000","USD","110000","US","0","US","M"
2023,"EN","FT","Data Analyst","85000","USD","85000","US","100","US","M"
2023,"EN","FT","Data Analyst","75000","USD","75000","US","100","US","M"
2023,"SE","FT","Analytics Engineer","150000","USD","150000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","120000","USD","120000","US","0","US","M"
2023,"SE","FT","Data Analyst","145000","USD","145000","US","100","US","M"
2023,"SE","FT","Data Analyst","90000","USD","90000","US","100","US","M"
2023,"SE","FT","Data Analyst","95000","USD","95000","US","0","US","M"
2023,"SE","FT","Data Analyst","85500","USD","85500","US","0","US","M"
2023,"MI","FT","Data Analytics Manager","155000","USD","155000","US","0","US","M"
2023,"MI","FT","Data Analytics Manager","140000","USD","140000","US","0","US","M"
2023,"EN","FT","Data Analyst","30000","USD","30000","IN","50","IN","M"
2022,"EN","PT","Data Analyst","34320","USD","34320","US","100","US","S"
2022,"MI","FT","Business Data Analyst","48000","BRL","9289","BR","100","BR","M"
2023,"SE","FT","Data Analyst","175000","USD","175000","US","100","US","M"
2023,"SE","FT","Data Analyst","130000","USD","130000","US","100","US","M"
2023,"SE","FT","Data Analyst","122000","USD","122000","US","100","US","M"
2023,"SE","FT","Data Analyst","93800","USD","93800","US","100","US","M"
2023,"SE","FT","Data Analyst","165000","USD","165000","US","100","US","M"
2023,"SE","FT","Data Analyst","112000","USD","112000","US","100","US","M"
2023,"SE","FT","BI Data Analyst","67000","EUR","71897","DE","100","DE","M"
2023,"SE","FT","Data Analyst","1300000","INR","15806","IN","100","IN","S"
2023,"SE","FT","Data Analyst","185900","USD","185900","US","0","US","M"
2023,"SE","FT","Data Analyst","121700","USD","121700","US","0","US","M"
2023,"SE","FT","Data Analyst","180180","USD","180180","US","0","US","M"
2023,"SE","FT","Data Analyst","106020","USD","106020","US","0","US","M"
2023,"SE","FT","Data Analyst","125000","USD","125000","US","0","US","M"
2023,"SE","FT","Data Analyst","110000","USD","110000","US","0","US","M"
2023,"SE","FT","Data Analyst","152380","USD","152380","US","0","US","M"
2023,"SE","FT","Data Analyst","121904","USD","121904","US","0","US","M"
2023,"SE","FT","Data Analyst","170500","USD","170500","US","100","US","M"
2023,"SE","FT","Data Analyst","85000","USD","85000","US","100","US","M"
2023,"SE","FT","Data Quality Analyst","72200","USD","72200","US","0","US","M"
2023,"SE","FT","Data Quality Analyst","64980","USD","64980","US","0","US","M"
2023,"SE","FT","Data Analyst","179975","USD","179975","US","100","US","M"
2023,"SE","FT","Data Analyst","86466","USD","86466","US","100","US","M"
2023,"MI","FT","Insight Analyst","42000","GBP","51039","GB","0","GB","M"
2023,"MI","FT","Insight Analyst","35000","GBP","42533","GB","0","GB","M"
2023,"SE","FT","Data Analyst","169000","USD","169000","US","0","US","M"
2023,"SE","FT","Data Analyst","110600","USD","110600","US","0","US","M"
2023,"SE","FT","Data Analyst","230000","USD","230000","US","0","US","M"
2023,"SE","FT","Data Analyst","180000","USD","180000","US","0","US","M"
2023,"SE","FT","Data Analyst","153600","USD","153600","US","0","US","M"
2023,"SE","FT","Data Analyst","106800","USD","106800","US","0","US","M"
2023,"SE","FT","Data Analyst","165000","USD","165000","US","100","US","M"
2023,"SE","FT","Data Analyst","125000","USD","125000","US","100","US","M"
2023,"SE","FT","Data Analyst","95000","USD","95000","US","0","US","M"
2023,"SE","FT","Data Analyst","85500","USD","85500","US","0","US","M"
2023,"SE","FT","Analytics Engineer","197000","USD","197000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","106000","USD","106000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","175000","USD","175000","US","0","US","M"
2023,"SE","FT","Analytics Engineer","140000","USD","140000","US","0","US","M"
2023,"SE","FT","Data Analyst","110000","USD","110000","US","100","US","S"
2023,"SE","FT","Data Analyst","80000","USD","80000","US","100","US","S"
2023,"EN","FT","Data Analyst","55000","USD","55000","US","0","US","M"
2023,"EN","FT","Data Analyst","48000","USD","48000","US","0","US","M"
2023,"SE","FT","Data Analyst","95000","USD","95000","US","0","US","M"
2023,"SE","FT","Data Analyst","85000","USD","85000","US","0","US","M"
2023,"MI","FT","Data Analyst","80000","USD","80000","US","0","US","M"
2023,"MI","FT","Data Analyst","60000","USD","60000","US","0","US","M"
2023,"SE","FT","Data Analyst","142000","USD","142000","US","100","US","M"
